location_type,map_label,lat,lon,country,candidate_rank,opportunity_tier
Existing Greggs,Greggs,51.4982302,-0.1352163,England,,
Existing Greggs,Greggs,55.8658367,-4.2679402,Scotland,,
Existing Greggs,Greggs,51.705522,-0.612239,England,,
Existing Greggs,Greggs,51.2361755,-0.5752797,England,,
Existing Greggs,Greggs,53.7958627,-1.6638384,England,,
Existing Greggs,Greggs,52.4804711,-1.8973375,England,,
Existing Greggs,Greggs,52.3938631,-2.017902,England,,
Existing Greggs,Greggs,54.4816805,-3.528421,England,,
Existing Greggs,Greggs,55.977507,-3.5947983,Scotland,,
Existing Greggs,Greggs,53.7973349,-1.5898437,England,,
Existing Greggs,Greggs,53.479605,-2.2462741,England,,
Existing Greggs,Greggs,53.7990671,-1.5428149,England,,
Existing Greggs,Greggs,53.7997193,-1.5464265,England,,
Existing Greggs,Greggs,53.8018105,-1.5445109,England,,
Existing Greggs,Greggs,53.4772731,-2.2439825,England,,
Existing Greggs,Greggs,50.8292926,-1.8379629,England,,
Existing Greggs,Greggs,51.4506567,0.0563669,England,,
Existing Greggs,Greggs,51.4007179,0.0171095,England,,
Existing Greggs,Greggs,53.6800153,-1.6626752,England,,
Existing Greggs,Greggs,51.2178598,-2.1999874,England,,
Existing Greggs,Greggs,52.6024296,0.3766341,England,,
Existing Greggs,Greggs,51.4789595,-2.1299333,England,,
Existing Greggs,Greggs,51.5089963,-3.1322088,Wales,,
Existing Greggs,Greggs,52.700815,-2.5182388,England,,
Existing Greggs,Greggs,55.0699244,-3.6127191,Scotland,,
Existing Greggs,Greggs,54.0103628,-2.7846304,England,,
Existing Greggs,Greggs,52.323562,-0.0731234,England,,
Existing Greggs,Greggs,50.7263598,-3.5255074,England,,
Existing Greggs,Greggs,55.8607697,-4.2513717,Scotland,,
Existing Greggs,Greggs,51.509795,-0.1233631,England,,
Existing Greggs,Greggs,55.8709169,-4.3092658,Scotland,,
Existing Greggs,Greggs,51.7251683,-1.9480247,England,,
Existing Greggs,Greggs,51.7920943,-3.9878059,Wales,,
Existing Greggs,Greggs,51.2646019,-1.0867554,England,,
Existing Greggs,Greggs,51.2661028,-1.0855177,England,,
Existing Greggs,Greggs,52.9251104,-1.4418044,England,,
Existing Greggs,Greggs,51.514666,-0.2495368,England,,
Existing Greggs,Greggs,55.9456427,-3.1913637,Scotland,,
Existing Greggs,Greggs,51.4767151,-3.2549959,Wales,,
Existing Greggs,Greggs,51.579304,-0.123977,England,,
Existing Greggs,Greggs,52.931681,-1.1266907,England,,
Existing Greggs,Greggs,52.916065,-1.4632252,England,,
Existing Greggs,Greggs,55.8011906,-4.3880403,Scotland,,
Existing Greggs,Greggs,51.4962039,-0.082883,England,,
Existing Greggs,Greggs,55.8274372,-3.2219256,Scotland,,
Existing Greggs,Greggs,55.9257542,-3.209586,Scotland,,
Existing Greggs,Greggs,53.4488081,-2.354249,England,,
Existing Greggs,Greggs,52.7720423,-1.2065507,England,,
Existing Greggs,Greggs,53.9587324,-1.0795549,England,,
Existing Greggs,Greggs,53.9595761,-1.0816552,England,,
Existing Greggs,Greggs,50.8564764,0.5815135,England,,
Existing Greggs,Greggs,54.4322467,-2.9630208,England,,
Existing Greggs,Greggs,51.8698118,0.1599131,England,,
Existing Greggs,Greggs,54.575372,-1.2358683,England,,
Existing Greggs,Greggs,54.5385977,-1.2904732,England,,
Existing Greggs,Greggs,52.8023843,-0.6098322,England,,
Existing Greggs,Greggs,52.961759,-1.2688273,England,,
Existing Greggs,Greggs,51.2918042,-0.7562024,England,,
Existing Greggs,Greggs,52.4139126,0.7489224,England,,
Existing Greggs,Greggs,52.7710454,-1.2073498,England,,
Existing Greggs,Greggs,51.4826986,-0.2002058,England,,
Existing Greggs,Greggs,54.3290752,-2.7467316,England,,
Existing Greggs,Greggs,55.769724,-2.003373,England,,
Existing Greggs,Greggs,52.4059647,-1.8871208,England,,
Existing Greggs,Greggs,52.5359271,-2.4201528,England,,
Existing Greggs,Greggs,51.5246309,0.4467633,England,,
Existing Greggs,Greggs,52.545141,-1.9329029,England,,
Existing Greggs,Greggs,52.5404631,-1.8839918,England,,
Existing Greggs,Greggs,52.5356394,-1.9057736,England,,
Existing Greggs,Greggs,51.6094677,-3.9807601,Wales,,
Existing Greggs,Greggs,51.4424051,0.3680234,England,,
Existing Greggs,Greggs,51.4828431,-3.1712152,Wales,,
Existing Greggs,Greggs,51.4782675,-3.1759069,Wales,,
Existing Greggs,Greggs,52.9788466,-0.0218109,England,,
Existing Greggs,Greggs,51.4717516,-3.2050872,Wales,,
Existing Greggs,Greggs,51.540815,0.6951444,England,,
Existing Greggs,Greggs,51.4812654,-3.178569,Wales,,
Existing Greggs,Greggs,51.481727,-3.1770305,Wales,,
Existing Greggs,Greggs,51.6629082,-0.077819,England,,
Existing Greggs,Greggs,55.9588767,-3.2113228,Scotland,,
Existing Greggs,Greggs,51.7132975,-3.4441295,Wales,,
Existing Greggs,Greggs,52.9532601,-1.1515725,England,,
Existing Greggs,Greggs,53.4655065,-2.2154745,England,,
Existing Greggs,Greggs,51.6216804,-3.4539126,Wales,,
Existing Greggs,Greggs,51.1496057,0.8711893,England,,
Existing Greggs,Greggs,52.9158124,-1.447525,England,,
Existing Greggs,Greggs,52.5522547,-1.884187,England,,
Existing Greggs,Greggs,51.6545278,-3.0204991,Wales,,
Existing Greggs,Greggs,55.9809422,-3.1781482,Scotland,,
Existing Greggs,Greggs,54.6692958,-1.2115995,England,,
Existing Greggs,Greggs,52.9482683,-1.147549,England,,
Existing Greggs,Greggs,53.4653908,-2.3235596,England,,
Existing Greggs,Greggs,53.4660421,-2.3102453,England,,
Existing Greggs,Greggs,52.13764,-0.470185,England,,
Existing Greggs,Greggs,51.6490876,-0.128872,England,,
Existing Greggs,Greggs,51.5417211,-0.0001622,England,,
Existing Greggs,Greggs,52.6357413,-2.4504038,England,,
Existing Greggs,Greggs,53.7441591,-1.6425494,England,,
Existing Greggs,Greggs,52.9549943,-1.1489985,England,,
Existing Greggs,Greggs,55.8642836,-4.2208935,Scotland,,
Existing Greggs,Greggs,54.5334246,-1.5782197,England,,
Existing Greggs,Greggs,53.821649,-1.5777603,England,,
Existing Greggs,Greggs,51.3859875,-2.142517,England,,
Existing Greggs,Greggs,56.3192393,-3.0119377,Scotland,,
Existing Greggs,Greggs,50.799623,-1.0906916,England,,
Existing Greggs,Greggs,53.6921884,-1.6282787,England,,
Existing Greggs,Greggs,50.8514764,-0.982542,England,,
Existing Greggs,Greggs,52.1476864,1.0811105,England,,
Existing Greggs,Greggs,51.5433077,-2.4395025,England,,
Existing Greggs,Greggs,54.9749293,-1.612023,England,,
Existing Greggs,Greggs,51.2399048,0.5571957,England,,
Existing Greggs,Greggs,53.3489772,-2.1205281,England,,
Existing Greggs,Greggs,50.7169592,-3.4661003,England,,
Existing Greggs,Greggs,53.4729701,-2.2398599,England,,
Existing Greggs,Greggs,54.9693129,-1.6176416,England,,
Existing Greggs,Greggs,51.3964246,0.173715,England,,
Existing Greggs,Greggs,52.6075071,-1.6398736,England,,
Existing Greggs,Greggs,55.8759494,-4.3238274,Scotland,,
Existing Greggs,Greggs,55.8606812,-4.2572073,Scotland,,
Existing Greggs,Greggs,53.8153333,-3.0542456,England,,
Existing Greggs,Greggs,55.4137767,-1.7063868,England,,
Existing Greggs,Greggs,55.8585588,-4.2172953,Scotland,,
Existing Greggs,Greggs,55.8248,-4.2577795,Scotland,,
Existing Greggs,Greggs,51.6550346,-0.2015562,England,,
Existing Greggs,Greggs,51.574847,-1.770472,England,,
Existing Greggs,Greggs,55.9360104,-3.2097801,Scotland,,
Existing Greggs,Greggs,54.9257765,-2.9475974,England,,
Existing Greggs,Greggs,54.40354,-1.7379071,England,,
Existing Greggs,Greggs,52.4574949,1.5627892,England,,
Existing Greggs,Greggs,53.3946493,-2.0626107,England,,
Existing Greggs,Greggs,56.0759966,-3.9220427,Scotland,,
Existing Greggs,Greggs,52.4136384,-1.7786945,England,,
Existing Greggs,Greggs,55.8364764,-4.2645945,Scotland,,
Existing Greggs,Greggs,51.856918,-4.3081514,Wales,,
Existing Greggs,Greggs,51.3924992,-0.3056016,England,,
Existing Greggs,Greggs,52.0384241,0.7298239,England,,
Existing Greggs,Greggs,51.7774137,-3.758498,Wales,,
Existing Greggs,Greggs,51.474443,-0.2071398,England,,
Existing Greggs,Greggs,54.5438564,-1.9237703,England,,
Existing Greggs,Greggs,51.5841146,-0.0242932,England,,
Existing Greggs,Greggs,51.3643613,-0.298551,England,,
Existing Greggs,Greggs,54.5717357,-1.1643283,England,,
Existing Greggs,Greggs,53.2279881,-4.1258112,Wales,,
Existing Greggs,Greggs,55.6517653,-3.1904639,Scotland,,
Existing Greggs,Greggs,51.4923159,0.2721868,England,,
Existing Greggs,Greggs,53.7475349,-1.5475156,England,,
Existing Greggs,Greggs,53.8070018,-1.5863886,England,,
Existing Greggs,Greggs,51.7318195,-1.2177307,England,,
Existing Greggs,Greggs,51.4736423,-0.0933523,England,,
Existing Greggs,Greggs,54.6997701,-1.60193,England,,
Existing Greggs,Greggs,51.5226697,-3.391318,Wales,,
Existing Greggs,Greggs,53.797298,-1.5359894,England,,
Existing Greggs,Greggs,51.3745456,-0.0966664,England,,
Existing Greggs,Greggs,54.821117,-1.4520509,England,,
Existing Greggs,Greggs,54.9630989,-1.6308988,England,,
Existing Greggs,Greggs,55.9466669,-3.2163737,Scotland,,
Existing Greggs,Greggs,51.4624325,-0.1367599,England,,
Existing Greggs,Greggs,52.6893051,-2.0307745,England,,
Existing Greggs,Greggs,50.4356449,-3.566955,England,,
Existing Greggs,Greggs,55.9424799,-3.2816617,Scotland,,
Existing Greggs,Greggs,51.5938735,0.0247495,England,,
Existing Greggs,Greggs,55.9717251,-3.2527169,Scotland,,
